proposal_id,source,mutation_family,operator,target_units,target_block_id,target_block_family,replacement_text,estimated_token_delta,actual_token_delta,risk_score,affected_failure_families,expected_effect,requires_validation,accepted,rejection_reason,rollback_units,generation,parent_genome_id,child_genome_id
advisor_g001_01,advisor,advisor_guided,strengthen_json_only_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",0,0,0.2,"[""Output_Schema""]",Prevent invalid JSON output by enforcing strict JSON-only response without markdown or comments.,True,True,,[],1,,
advisor_g001_02,advisor,advisor_guided,strengthen_no_unrelated_action_rule,[],03,Minimality,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""Minimality""]",Reduce extraneous or unrelated actions in output to improve minimality and correctness.,True,True,,[],1,,
accuracy_repair_g002_bf8b961f,det_feedback,accuracy_repair,strengthen_json_only_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",0,0,0.2,"[""invalid_json""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,gen-bdd4e724-5407-b1de-8fa2-b132d3152091
compression_g002_b156bfc7,cloudless,compression,merge_duplicate_micro_rules,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,False,population full before cloudless proposal could be added,[],2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,
advisor_g002_01,advisor,advisor_guided,strengthen_json_only_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",0,0,0.2,"[""Output_Schema""]",Fix invalid JSON output failures by enforcing strict JSON-only output without markdown or prose.,True,True,,[],2,,
advisor_g002_02,advisor,advisor_guided,strengthen_no_unrelated_action_rule,[],03,Minimality,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""Minimality""]",Reduce extraneous or unrelated actions in output to improve minimality and correctness.,True,True,,[],2,,
advisor_g002_03,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,Use only canonical service/value names from service_list_snippet; copy allowed enum values exactly; use unquoted numeric literals for numeric arguments.,0,0,0.2,"[""Service_Mapping""]",Improve service name grounding and argument typing to reduce schema violations and unknown service errors.,True,True,,[],2,,
advisor_g002_04,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",0,0,0.2,"[""Service_Mapping""]","Enhance grounding by reading descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",True,True,,[],2,,
advisor_g002_05,advisor,advisor_guided,strengthen_temporal_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons; convert elapsed time and units exactly according to the service descriptor.",0,0,0.2,"[""Temporal_Rule""]",Improve handling of elapsed time and duration-based commands to reduce temporal errors.,True,True,,[],2,,
advisor_g002_06,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Improve dataflow correctness by binding sensor reads to variables used in downstream actions.,True,True,,[],2,,
compression_g003_40eef092,cloudless,compression,compact_reasoning_skeleton,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],3,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,gen-eacd8d60-cf7c-3776-8272-e1069de7225b
accuracy_repair_g004_19859663,det_feedback,accuracy_repair,strengthen_json_only_rule,[],03,Output_Schema,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",0,0,0.2,"[""invalid_json""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],4,gen-6c3bf6ba-f915-e48f-9141-09fb9b540624,gen-f6d4d979-6538-7164-6c83-770691877a47
compression_g004_ffac2b3a,cloudless,compression,reduce_few_shot_count,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,False,population full before cloudless proposal could be added,[],4,gen-6c3bf6ba-f915-e48f-9141-09fb9b540624,
