failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
semantic_error,DET_Helper,add_targeted_repair_hint,06,69,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,34,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,1,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,30,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,1,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,28,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,1,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,20,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,1,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,15,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,1,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,10,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,1,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,10,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,1,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,8,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,5,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,1,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,60,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,29,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,2,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,21,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,2,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,17,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,2,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,2,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,12,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,2,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,8,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,2,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,8,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,2,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,3,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,2,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,62,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,3,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,31,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,3,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,27,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,3,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,25,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,3,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,20,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,3,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,16,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,3,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,12,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,3,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,9,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,3,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,7,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,3,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,4,unknown_service:airconditioner_temperature,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,3,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,56,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,4,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,27,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,4,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,22,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,4,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,19,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,4,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,15,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,4,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,13,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,4,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,9,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,4,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,9,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode|unknown_service:airconditionersettargettemperature,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,4,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,4,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,4,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,4,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,56,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,5,qwen25_coder_14b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,29,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,5,qwen25_coder_14b
semantic_error,Skeleton,strengthen_skeleton_rule,06,29,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,5,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,27,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,5,qwen25_coder_14b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,18,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,5,qwen25_coder_14b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,16,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,5,qwen25_coder_14b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,11,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,5,qwen25_coder_14b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,10,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,5,qwen25_coder_14b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,7,unknown_service:airconditioner_temperature|unknown_service:airconditionersetairconditionermode,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,5,qwen25_coder_14b
precondition,DET_Helper,add_targeted_repair_hint,06,6,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,5,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,48,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,6,qwen25_coder_14b
