failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
semantic_error,DET_Helper,add_targeted_repair_hint,06,101,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,llama31_8b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,55,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,1,llama31_8b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,47,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,1,llama31_8b
semantic_error,Skeleton,strengthen_skeleton_rule,06,42,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,1,llama31_8b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,36,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,1,llama31_8b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,30,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,1,llama31_8b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,19,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,1,llama31_8b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,13,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,1,llama31_8b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,10,unknown_service:channel_setchannel|unknown_service:charger_switch|unknown_service:charger_switch_off|unknown_service:light_on|unknown_service:valve_downorclose|unknown_service:valve_uporopen|unknown_service:weatherprovider_rain,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,1,llama31_8b
no_parseable_member_access,DET_Helper,add_targeted_repair_hint,06,1,no_parseable_member_access,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,llama31_8b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,llama31_8b
invalid_json,Output_Schema,strengthen_json_only_rule,03,1,invalid_json,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences.",1,1,llama31_8b
semantic_error,DET_Helper,add_targeted_repair_hint,06,105,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,llama31_8b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,53,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,2,llama31_8b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,44,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,2,llama31_8b
semantic_error,Skeleton,strengthen_skeleton_rule,06,37,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,2,llama31_8b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,36,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,2,llama31_8b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,33,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,2,llama31_8b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,16,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,2,llama31_8b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,16,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,2,llama31_8b
unknown_service,Service_Mapping,add_canonical_service_name_rule,02,10,unknown_service:charger_switch|unknown_service:charger_switch_off|unknown_service:light_on|unknown_service:weatherprovider_rain,Use only canonical service/value names from service_list_snippet; never invent helper methods.,1,2,llama31_8b
no_parseable_member_access,DET_Helper,add_targeted_repair_hint,06,1,no_parseable_member_access,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,llama31_8b
precondition,DET_Helper,add_targeted_repair_hint,06,1,precondition,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,llama31_8b
semantic_error,DET_Helper,add_targeted_repair_hint,06,103,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,3,llama31_8b
schema_violation,Service_Mapping,add_schema_grounding_rule,02,52,gt_service_coverage|service_match,"Read descriptor, return_descriptor, argument_type, and argument_bounds before choosing service names or numeric units.",1,3,llama31_8b
owner_device_mismatch,Owner_Device_Rule,strengthen_owner_device_rule,02,48,gt_receiver_coverage,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",2,3,llama31_8b
semantic_error,Skeleton,strengthen_skeleton_rule,06,44,semantic,"Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect.",3,3,llama31_8b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,31,arg_type|enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,3,llama31_8b
temporal_error,Temporal_Rule,strengthen_temporal_rule,06,31,numeric_grounding,Convert elapsed time and units exactly according to the service descriptor before writing numeric literals.,2,3,llama31_8b
dataflow_error,Dataflow,add_sensor_to_action_flow_rule,06,22,dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",1,3,llama31_8b
extraneous_action,Minimality,strengthen_no_unrelated_action_rule,03,12,extraneous,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",2,3,llama31_8b
