generation,proposal_id,model_key,target_block_id,target_block_family,mutation_type,priority,accepted,rejection_reason,reason,proposed_micro_rule
1,advisor_g001_01,llama31_8b,02,Service_Mapping,add_micro_rule,1,True,,"Ensure all service families implied by the command are included, covering both sensor reads and actuator actions to fix service coverage failures.","Include every service family implied by the command, covering both sensor reads and actuator actions."
1,advisor_g001_02,llama31_8b,02,Owner_Device_Rule,add_micro_rule,2,True,,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression to fix owner device mismatches.","Preserve command-implied device, owner, location, and group selector tags in the receiver expression."
1,advisor_g001_03,llama31_8b,02,Enum_Grounding,add_micro_rule,1,True,,Ensure ENUM arguments are copied exactly from allowed values and numeric arguments use unquoted literals to fix enum type mismatches.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
1,advisor_g001_04,llama31_8b,06,DET_Helper,add_micro_rule,3,True,,"Add targeted repair hints to fix semantic errors where code is schema-valid but not target-equivalent by repairing receiver coverage, service coverage, dataflow, numeric, and enum grounding.","If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
1,advisor_g001_05,llama31_8b,06,Temporal_Rule,add_micro_rule,1,True,,Represent elapsed time with explicit state variables and comparisons to fix temporal errors.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons."
1,advisor_g001_06,llama31_8b,06,Dataflow,add_micro_rule,1,True,,Bind sensor readings to variables and use those variables in downstream actions to fix dataflow errors.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
2,advisor_g002_01,llama31_8b,02,Service_Mapping,add_micro_rule,1,True,,Improve grounding of receiver coverage and service coverage to fix semantic errors.,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression to ensure full coverage."
2,advisor_g002_02,llama31_8b,02,Enum_Grounding,add_micro_rule,1,True,,Strengthen enum and numeric argument grounding to reduce enum_type_mismatch failures.,"For ENUM arguments, copy an allowed enum value exactly from the service descriptor; for numeric arguments, use unquoted numeric literals."
2,advisor_g002_03,llama31_8b,06,Dataflow,add_micro_rule,1,True,,Fix dataflow errors by ensuring sensor values are bound to variables before use in actions.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
2,advisor_g002_04,llama31_8b,06,Temporal_Rule,add_micro_rule,1,True,,Improve temporal grounding to fix temporal errors and numeric grounding issues.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons; convert elapsed time and units exactly according to the service descriptor."
2,advisor_g002_05,llama31_8b,06,DET_Helper,add_micro_rule,3,True,,"Add targeted repair hints to fix semantic errors related to receiver coverage, service coverage, dataflow, numeric, and enum grounding.","If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
3,advisor_g003_01,llama31_8b,02,Service_Mapping,add_micro_rule,1,True,,"Ensure all service families implied by the command are included, covering sensor reads and actuator actions.","Include every service family implied by the command, including both sensor reads and actuator actions."
3,advisor_g003_02,llama31_8b,02,Service_Mapping,add_micro_rule,1,True,,Prevent invention of service or value names and enforce use of canonical names from the service list snippet.,Use only canonical service and value names from service_list_snippet; never invent helper methods or names.
3,advisor_g003_03,llama31_8b,02,Enum_Grounding,add_micro_rule,1,True,,Ensure enum arguments are copied exactly from allowed values and numeric arguments are unquoted literals.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
3,advisor_g003_04,llama31_8b,02,Owner_Device_Rule,add_micro_rule,2,True,,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.","Preserve command-implied device, owner, location, and group selector tags in the receiver expression."
3,advisor_g003_05,llama31_8b,06,Temporal_Rule,add_micro_rule,1,True,,Represent elapsed time with explicit state variables and comparisons for delayed or duration-based commands.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons."
3,advisor_g003_06,llama31_8b,06,Dataflow,add_micro_rule,1,True,,Bind sensor read values to variables and use those variables in downstream actions to ensure correct dataflow.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
3,advisor_g003_07,llama31_8b,06,Skeleton,add_micro_rule,3,True,,"Choose the smallest JOILang skeleton matching command verb, timing, target receiver, and side effect to avoid semantic errors.","Choose the smallest JOILang skeleton that matches the command verb, timing, target receiver, and side effect."
3,advisor_g003_08,llama31_8b,06,DET_Helper,add_micro_rule,3,True,,"Repair receiver coverage, service coverage, dataflow, numeric, and enum grounding if code is schema-valid but not target-equivalent.","If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
