proposal_id,source,mutation_family,operator,target_units,target_block_id,target_block_family,replacement_text,estimated_token_delta,actual_token_delta,risk_score,affected_failure_families,expected_effect,requires_validation,accepted,rejection_reason,rollback_units,generation,parent_genome_id,child_genome_id
advisor_g001_01,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Include every service family implied by the command, covering both sensor reads and actuator actions.",0,0,0.2,"[""Service_Mapping""]","Ensure all service families implied by the command are included, covering both sensor reads and actuator actions to fix service coverage failures.",True,True,,[],1,,
advisor_g001_02,advisor,advisor_guided,add_micro_rule,[],02,Owner_Device_Rule,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression.",0,0,0.2,"[""Owner_Device_Rule""]","Preserve command-implied device, owner, location, and group selector tags in the receiver expression to fix owner device mismatches.",True,True,,[],1,,
advisor_g001_03,advisor,advisor_guided,add_micro_rule,[],02,Enum_Grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Enum_Grounding""]",Ensure ENUM arguments are copied exactly from allowed values and numeric arguments use unquoted literals to fix enum type mismatches.,True,True,,[],1,,
advisor_g001_04,advisor,advisor_guided,add_micro_rule,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""DET_Helper""]","Add targeted repair hints to fix semantic errors where code is schema-valid but not target-equivalent by repairing receiver coverage, service coverage, dataflow, numeric, and enum grounding.",True,True,,[],1,,
advisor_g001_05,advisor,advisor_guided,add_micro_rule,[],06,Temporal_Rule,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons.",0,0,0.2,"[""Temporal_Rule""]",Represent elapsed time with explicit state variables and comparisons to fix temporal errors.,True,True,,[],1,,
advisor_g001_06,advisor,advisor_guided,add_micro_rule,[],06,Dataflow,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action.",0,0,0.2,"[""Dataflow""]",Bind sensor readings to variables and use those variables in downstream actions to fix dataflow errors.,True,True,,[],1,,
accuracy_repair_g002_bf8b961f,det_feedback,accuracy_repair,add_targeted_repair_hint,[],06,DET_Helper,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",0,0,0.2,"[""semantic_error""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],2,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,gen-bdd4e724-5407-b1de-8fa2-b132d3152091
compression_g002_b156bfc7,cloudless,compression,merge_duplicate_micro_rules,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,False,population full before cloudless proposal could be added,[],2,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,
advisor_g002_01,advisor,advisor_guided,add_micro_rule,[],02,Service_Mapping,"Preserve command-implied device, owner, location, and group selector tags in the receiver expression to ensure full coverage.",0,0,0.2,"[""Service_Mapping""]",Improve grounding of receiver coverage and service coverage to fix semantic errors.,True,True,,[],2,,
advisor_g002_02,advisor,advisor_guided,add_micro_rule,[],02,Enum_Grounding,"For ENUM arguments, copy an allowed enum value exactly from the service descriptor; for numeric arguments, use unquoted numeric literals.",0,0,0.2,"[""Enum_Grounding""]",Strengthen enum and numeric argument grounding to reduce enum_type_mismatch failures.,True,True,,[],2,,
