generation,candidate_id,model_key,DETPass,SDET,avg_prompt_tokens,replay_gate_pass,regression_gate_pass,promoted,rejection_reason,accepted_prompt_path,previous_accepted_prompt
1,gen-bbf8b961-f83c-3169-009b-831460788576,qwen25_coder_7b,70.8333,87.9273,68729.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_001_gen-bbf8b961-f83c-3169-009b-831460788576.json,
2,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_002_gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275.json,gen-bbf8b961-f83c-3169-009b-831460788576
3,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_003_gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275.json,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275
4,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_004_gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275.json,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275
5,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_005_gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275.json,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275
6,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_006_gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275.json,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275
7,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_007_gen-3e32de78-6d85-69dd-f31f-678e1ed93856.json,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275
8,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_008_gen-3e32de78-6d85-69dd-f31f-678e1ed93856.json,gen-3e32de78-6d85-69dd-f31f-678e1ed93856
9,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_009_gen-3e32de78-6d85-69dd-f31f-678e1ed93856.json,gen-3e32de78-6d85-69dd-f31f-678e1ed93856
10,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,qwen25_coder_7b,83.3333,90.7404,70088.8333,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_qwen25_coder_7b_20260521_222145/ga_output/accepted_genomes/generation_010_gen-3e32de78-6d85-69dd-f31f-678e1ed93856.json,gen-3e32de78-6d85-69dd-f31f-678e1ed93856
