row_no,category,command_eng,command_kor,gt,genome_id,generation,candidate_index,candidate_strategy,prompt_render_mode,prompt_assets_dir,prompt_log_paths,raw_response_path,candidates,generated_code,generated_json,generation_error_type,generation_error_count,generation_prompt_tokens_total,generation_completion_tokens_total,generation_total_tokens_total,latency_sec,peak_vram_gb,service_context_source,service_context_mode,service_list_retrieval_scores,connected_devices_used,service_schema_path,repair_applied,repair_actions,backend
1,1,Switch the dishwasher to dry mode.,식기세척기를 건조 모드로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Dishwasher).dishwasher_setdishwashermode(\""dry\"")""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_1_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_1_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_1_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.703795,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
2,1,Add 5 minutes to the oven.,오븐의 작동 시간을 5분 늘려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Oven).oven_addmoretime(300)""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_2_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_2_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_2_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.89426,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
3,1,Start the rice cooker on cooking mode for 30 minutes.,밥솥을 조리 모드로 30분 작동시켜.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#RiceCooker).ricecooker_setcookingparameters(\""cooking\"", 1800)""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_3_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_3_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_3_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.892845,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
4,1,Set the siren to emergency mode.,사이렌을 응급모드로 울려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Siren).siren_setsirenmode(\""emergency\"")""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_4_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_4_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_4_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,27.020653,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
5,1,Set the speaker volume to 30.,스피커의 볼륨을 30으로 설정해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Speaker).speaker_setvolume(30)""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_5_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_5_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_5_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.983294,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
6,1,Turn the TV channel down by one.,TV 채널을 하나 내려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_channeldown()""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_6_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_6_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_6_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.36217,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
7,1,Switch the TV to channel 7.,TV로 7번 채널을 틀어줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""(#Television).television_setchannel(7)""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_7_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_7_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_7_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,27.047948,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
8,1,Announce the temperature through the speaker.,현재 온도를 스피커로 알려줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#TemperatureSensor).temperaturesensor_temperature\n\n(#Speaker).speaker_speak(\""현재 온도는 \"" + temp + \""도입니다\"")""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_8_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_8_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_8_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,27.220246,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
9,1,Tell me the outdoor temperature through the speaker.,외부 온도를 스피커로 출력해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\ntemp = (#WeatherProvider).weatherprovider_temperatureweather\n\n(#Speaker).speaker_speak(\""외부 온도는 \"" + temp + \""도입니다\"")""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_9_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_9_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_9_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.043768,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
10,1,Tell me the current humidity through the speaker.,현재 습도를 스피커로 말해줘.,"{""name"": """", 
""cron"": """", 
""period"": 0, 
""script"": ""\nhum = (#HumiditySensor).humiditysensor_humidity\n\n(#Speaker).speaker_speak(\""현재 습도는 \"" + hum + \""%입니다\"")""}",suite_base,0,0,worker_direct,monolith,/home/mgjeong/Desktop/llm/JOILang-Server/gpt_mg/version0_13,"[""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_10_cand_0_gen_000.md"", ""/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/prompts/row_10_cand_0_gen_000.json""]",/home/mgjeong/Desktop/llm/JOILang-Server/artifacts/ga_search_tutorial_runs/cloudless_model_suite_20260624_021806/full_det_qwen25_coder_7b_allrows_20260624_021859/qwen25_coder_7b/raw_responses/row_10_cand_0_gen_000.json,"[{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}]","(#Dishwasher).dishwasherMode_setDishwasherMode(""dry"")","{""name"": ""DishwasherDryMode"", ""cron"": """", ""period"": -1, ""code"": ""(#Dishwasher).dishwasherMode_setDishwasherMode(\""dry\"")""}",,0,53129,52,0,26.219175,24.1048,provided_schema,schema_fallback,"{""status"": ""retrieval_disabled"", ""reason"": ""canonical ga_search has not enabled service retrieval yet""}",,datasets/service_list_ver2.0.1.json,False,[],worker
