generation,candidate_id,model_key,DETPass,SDET,avg_prompt_tokens,replay_gate_pass,regression_gate_pass,promoted,rejection_reason,accepted_prompt_path,previous_accepted_prompt
1,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,llama31_8b,66.6667,83.8253,68200.0,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_llama31_8b_20260522_080743/ga_output/accepted_genomes/generation_001_gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e.json,
2,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,llama31_8b,66.6667,83.8253,68200.0,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_llama31_8b_20260522_080743/ga_output/accepted_genomes/generation_002_gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e.json,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e
3,gen-aa260320-7d41-aadd-0f01-03d60439a016,llama31_8b,66.6667,83.8253,68200.0,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_llama31_8b_20260522_080743/ga_output/accepted_genomes/generation_003_gen-aa260320-7d41-aadd-0f01-03d60439a016.json,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e
4,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,llama31_8b,66.6667,83.8253,68200.0,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_llama31_8b_20260522_080743/ga_output/accepted_genomes/generation_004_gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d.json,gen-aa260320-7d41-aadd-0f01-03d60439a016
5,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,llama31_8b,66.6667,83.8253,68200.0,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_llama31_8b_20260522_080743/ga_output/accepted_genomes/generation_005_gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d.json,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d
6,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d,llama31_8b,66.6667,83.8253,68200.0,True,True,True,,/root/llm/JOILang-Server/gpt_mg/version0_15_update20260413/results/ga_final_allcat3_pop5_gens10_llama31_8b_20260522_080743/ga_output/accepted_genomes/generation_006_gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d.json,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d
7,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,llama31_8b,54.1667,80.9491,36129.5,True,False,False,candidate regressed avg DET versus previous accepted prompt,,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d
8,gen-56580de2-2f79-b8a1-9492-0dc2f0089c53,llama31_8b,54.1667,80.9491,36129.5,True,False,False,candidate regressed avg DET versus previous accepted prompt,,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d
9,gen-f136dfc3-8ad0-9d5a-24e0-34b46f5b1cfc,llama31_8b,62.5,82.8855,67849.0,True,False,False,candidate regressed avg DET versus previous accepted prompt,,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d
10,gen-f136dfc3-8ad0-9d5a-24e0-34b46f5b1cfc,llama31_8b,62.5,82.8855,67849.0,True,False,False,candidate regressed avg DET versus previous accepted prompt,,gen-32a30300-01fc-5f0c-5c78-5edb83f3a16d
