generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
1,qwen25_coder_7b,1,15,100.0,15,100.0,{}
1,qwen25_coder_7b,2,15,97.385,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 7, ""numeric_grounding"": 5}"
1,qwen25_coder_7b,3,15,82.1617,8,53.3333,"{""arg_type"": 4, ""dataflow"": 2, ""extraneous"": 1, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 3, ""gt_service_coverage"": 3, ""numeric_grounding"": 2, ""precondition"": 1, ""semantic"": 6, ""service_match"": 1}"
1,qwen25_coder_7b,4,15,71.0597,4,26.6667,"{""arg_type"": 2, ""dataflow"": 8, ""extraneous"": 2, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""precondition"": 1, ""semantic"": 5, ""service_match"": 5, ""unknown_service"": 5}"
1,qwen25_coder_7b,5,15,93.5388,13,86.6667,"{""enum_grounding"": 10, ""gt_mismatch"": 10, ""numeric_grounding"": 2, ""semantic"": 2}"
1,qwen25_coder_7b,6,15,70.4494,4,26.6667,"{""arg_type"": 2, ""dataflow"": 7, ""enum_grounding"": 2, ""extraneous"": 7, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 11, ""gt_service_coverage"": 11, ""numeric_grounding"": 8, ""precondition"": 1, ""semantic"": 5, ""service_match"": 4, ""unknown_service"": 6}"
1,qwen25_coder_7b,7,15,79.6195,7,46.6667,"{""dataflow"": 5, ""enum_grounding"": 5, ""extraneous"": 1, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 6, ""gt_service_coverage"": 6, ""numeric_grounding"": 4, ""semantic"": 8, ""service_match"": 4, ""unknown_service"": 4}"
1,qwen25_coder_7b,8,15,87.0703,13,86.6667,"{""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 14, ""gt_receiver_coverage"": 2, ""gt_service_coverage"": 2, ""semantic"": 13}"
2,qwen25_coder_7b,1,15,95.9867,13,86.6667,"{""enum_grounding"": 2, ""gt_mismatch"": 2}"
2,qwen25_coder_7b,2,15,97.5454,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 6, ""numeric_grounding"": 5}"
2,qwen25_coder_7b,3,15,92.7271,12,80.0,"{""arg_type"": 4, ""extraneous"": 1, ""gt_mismatch"": 7, ""numeric_grounding"": 3, ""semantic"": 5}"
2,qwen25_coder_7b,4,15,73.7861,4,26.6667,"{""arg_type"": 1, ""dataflow"": 6, ""extraneous"": 1, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 1, ""semantic"": 4, ""service_match"": 5, ""unknown_service"": 5}"
2,qwen25_coder_7b,5,15,94.9264,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 11, ""numeric_grounding"": 1, ""service_match"": 3, ""unknown_service"": 3}"
2,qwen25_coder_7b,6,15,78.8435,6,40.0,"{""dataflow"": 5, ""extraneous"": 7, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 5, ""semantic"": 2, ""service_match"": 3, ""unknown_service"": 6}"
2,qwen25_coder_7b,7,15,82.016,8,53.3333,"{""dataflow"": 4, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 5, ""semantic"": 7, ""service_match"": 4, ""unknown_service"": 4}"
2,qwen25_coder_7b,8,15,91.3201,15,100.0,"{""enum_grounding"": 5, ""extraneous"": 5, ""gt_mismatch"": 15, ""semantic"": 15}"
3,qwen25_coder_7b,1,15,95.9867,13,86.6667,"{""enum_grounding"": 2, ""gt_mismatch"": 2}"
3,qwen25_coder_7b,2,15,97.385,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 7, ""numeric_grounding"": 5}"
3,qwen25_coder_7b,3,15,89.6994,11,73.3333,"{""arg_type"": 4, ""dataflow"": 1, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 2, ""semantic"": 6}"
3,qwen25_coder_7b,4,15,73.2622,4,26.6667,"{""arg_type"": 3, ""dataflow"": 7, ""extraneous"": 1, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 2, ""semantic"": 3, ""service_match"": 5, ""unknown_service"": 5}"
3,qwen25_coder_7b,5,15,92.1192,14,93.3333,"{""enum_grounding"": 10, ""gt_mismatch"": 13, ""numeric_grounding"": 3, ""semantic"": 1, ""service_match"": 4, ""unknown_service"": 4}"
3,qwen25_coder_7b,6,15,70.9437,5,33.3333,"{""arg_type"": 1, ""dataflow"": 5, ""enum_grounding"": 1, ""extraneous"": 7, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 10, ""gt_service_coverage"": 10, ""numeric_grounding"": 9, ""precondition"": 1, ""semantic"": 3, ""service_match"": 3, ""unknown_service"": 5}"
3,qwen25_coder_7b,7,15,86.7855,11,73.3333,"{""dataflow"": 3, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 6, ""semantic"": 4, ""service_match"": 2, ""unknown_service"": 2}"
3,qwen25_coder_7b,8,15,89.3055,14,93.3333,"{""enum_grounding"": 5, ""extraneous"": 3, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 14}"
4,qwen25_coder_7b,1,15,97.9933,14,93.3333,"{""enum_grounding"": 1, ""gt_mismatch"": 1}"
4,qwen25_coder_7b,2,15,97.0498,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 9, ""numeric_grounding"": 5}"
4,qwen25_coder_7b,3,15,90.5215,11,73.3333,"{""arg_type"": 5, ""extraneous"": 1, ""gt_mismatch"": 8, ""numeric_grounding"": 4, ""semantic"": 7}"
4,qwen25_coder_7b,4,15,78.2626,6,40.0,"{""arg_type"": 2, ""dataflow"": 4, ""gt_mismatch"": 13, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 2, ""semantic"": 2, ""service_match"": 4, ""unknown_service"": 4}"
4,qwen25_coder_7b,5,15,94.0343,15,100.0,"{""enum_grounding"": 10, ""gt_mismatch"": 12, ""numeric_grounding"": 2, ""service_match"": 4, ""unknown_service"": 4}"
4,qwen25_coder_7b,6,15,78.6373,6,40.0,"{""arg_type"": 1, ""dataflow"": 4, ""enum_grounding"": 1, ""extraneous"": 9, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 9, ""gt_service_coverage"": 9, ""numeric_grounding"": 9, ""semantic"": 1, ""service_match"": 4, ""unknown_service"": 7}"
4,qwen25_coder_7b,7,15,89.7141,12,80.0,"{""dataflow"": 1, ""enum_grounding"": 5, ""gt_mismatch"": 10, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""numeric_grounding"": 9, ""semantic"": 3, ""service_match"": 1, ""unknown_service"": 1}"
4,qwen25_coder_7b,8,15,90.0319,14,93.3333,"{""enum_grounding"": 5, ""extraneous"": 5, ""gt_mismatch"": 15, ""gt_receiver_coverage"": 1, ""gt_service_coverage"": 1, ""semantic"": 15}"
5,qwen25_coder_7b,1,15,100.0,15,100.0,{}
5,qwen25_coder_7b,2,15,97.0546,15,100.0,"{""arg_type"": 5, ""gt_mismatch"": 9, ""numeric_grounding"": 5}"
