category,signal,signal_type,produced_by,evidence_fields,diagnostic_template,target_family,target_block_id,mutation_policy,difficulty,priority,final_check,micro_rule
Schedule,cron_mismatch,failure_reason,strict_det,"['gt_json.cron', 'generated_json.cron', 'cron_match', 'schedule_match']","cron mismatch: gt cron={gt_cron!r}, generated cron={generated_cron!r}. Fixed wall-clock schedule was lost.",Temporal_Rule,06,fixed wall-clock/day schedule uses cron first; do not replace with period + Clock guard,easy,30,Added explicit mapping; no DET_Helper fallback.,"For explicit fixed times, weekdays, midnight, or scheduled one-shot commands, derive cron first and preserve it exactly. Do not replace a fixed schedule with a period loop or a Clock guard unless repeated monitoring is explicit."
Schedule,period_mismatch,failure_reason,strict_det,"['gt_json.period', 'generated_json.period', 'period_match', 'schedule_match']","period mismatch: gt period={gt_period!r}, generated period={generated_period!r}.",Temporal_Rule,06,"classify one-shot / cron / repeated loop first, then apply period policy",easy,30,Added explicit mapping; no DET_Helper fallback.,"For one-shot action or scheduled one-shot commands, use period=0 unless repeated monitoring is explicit. Use positive period only for repeated monitoring loops and never use -1 as a substitute for a valid one-shot period."
Overall,gt_mismatch,failure_reason,strict_det,"['gt_code', 'generated_code', 'gt_similarity', 'diff_summary']",gt mismatch: code is schema-valid but not target-equivalent; prioritize concrete mismatches.,DET_Helper,06,umbrella only; do not make primary patch if concrete service/receiver/schedule/numeric/enum reason exists,medium,90,Keep as fallback or support reason only.,"When code is schema-valid but not target-equivalent, compare schedule, receiver, service, numeric, enum, dataflow, and action order before final output."
Service,gt_service_coverage,failure_reason,strict_det,"['diff_summary.gt_services', 'diff_summary.generated_services']","missing GT service: gt services={gt_services}, generated services={generated_services}.",Service_Mapping,02,"select command target receiver first, then select schema-valid service under that receiver",easy,20,High automation value.,Include every service implied by the command. Select services only from the injected schema under the selected receiver and do not substitute adjacent service families.
Service,unknown_service,failure_reason,strict_det,"['diff_summary.generated_services', 'diff_summary.gt_services', 'generated_code']",unknown/canonical service error: generated services={generated_services}; expected schema/GT services={gt_services}.,Service_Mapping,02,replace non-schema member with nearest valid canonical schema member before final output,easy,10,Already maps to Service_Mapping; expand with camelCase/class-style prohibition.,"Never invent service/member names. Copy the canonical device-prefixed service member exactly from the injected service schema. Do not emit camelCase, class-style, capitalized, or paraphrased service names."
Receiver,gt_receiver_coverage,failure_reason,strict_det,"['diff_summary.gt_receivers', 'diff_summary.generated_receivers']","receiver mismatch: gt receivers={gt_receivers}, generated receivers={generated_receivers}.",Receiver_Tag_Preservation,02,owner/location/group/sector tag preservation; condition receiver and action receiver may differ,easy,15,Mapping is appropriate.,"Select receiver tags from the current command target before service selection. Preserve owner, location, group, and sector tags exactly, and do not reuse a receiver from another row."
Numeric,numeric_grounding,failure_reason,strict_det,"['diff_summary.gt_numeric_literals', 'diff_summary.generated_numeric_literals', 'service descriptor']","numeric mismatch: gt numeric literals={gt_numeric_literals}, generated numeric literals={generated_numeric_literals}.",Numeric_Unit_Grounding,06,temporal numbers and service argument numbers both use descriptor-grounded conversion,easy,35,Separate from pure Temporal_Rule when numeric is a service argument.,"Preserve required numeric arguments and thresholds from the command. Convert units using the selected service descriptor, such as minutes to seconds for seconds-based arguments."
Enum/String,enum_grounding,failure_reason,strict_det,"['diff_summary.gt_string_args', 'diff_summary.generated_string_args']","enum mismatch: gt string args={gt_string_args}, generated string args={generated_string_args}.",Enum_Grounding,02,copy allowed enum from selected service descriptor only,easy,40,Mapping is appropriate.,"For enum-valued services, copy the allowed enum value exactly from the selected service descriptor. Do not translate, paraphrase, or borrow enum values from another device or service."
Argument,arg_type,failure_reason,local_report,"['service descriptor', 'gt_code', 'generated_code']","argument type mismatch: preserve positional order, numeric/string/boolean type, and schema separator.",Argument_Grounding,02,type/order/separator/format rule,medium,45,Argument shape must be descriptor-grounded.,"Preserve positional argument order, argument type, separator, bounds, and format from the selected service descriptor."
Dataflow,dataflow,failure_reason,strict_det,"['gt_code', 'generated_code', 'variable assignment/use pattern']",dataflow mismatch: generated does not preserve read-bind-use structure required by GT.,Dataflow,06,sensor read → variable bind → downstream speak/action structure preservation,medium,50,JOILang ':=' variable pattern should be included in diagnostic logic.,"When reading a value for reporting or control, bind it with JOILang ':=' and use that bound value downstream. Do not replace read-bind-use flow with an unrelated direct action."
Semantic,semantic,failure_reason,local_or_cloud,"['command', 'gt_code', 'generated_code', 'reasoning']",semantic intent mismatch: generated code follows a different high-level intent than the command.,Skeleton,06,use only with concrete diagnostic; do not patch from semantic alone,hard,100,Dangerous as standalone patch reason.,"Classify the current command as one-shot, condition-action, cron schedule, period loop, or trigger-then-repeat before service emission."
Condition,conditions,cloud_dimension,cloud_auxiliary,"['condition diff', 'cloud reasoning']",condition mismatch: generated condition does not preserve command precondition or trigger subject.,Skeleton,06,condition subject/action target separation,hard,85,Use only as auxiliary with strict DET evidence.,Preserve explicit if-condition subjects and action targets separately. Do not convert a precondition into an action or omit the trigger subject.
Precondition,precondition,failure_reason,local_report,"['command', 'gt condition blocks', 'generated condition blocks']",precondition mismatch: output ignores or changes required if-condition before action.,Skeleton,06,precondition-first skeleton,medium,60,Mapping to Skeleton is appropriate.,Represent explicit state preconditions as guard conditions before actions. Do not replace a required state check with an unconditional action.
