generation,model_key,category,row_evaluations,avg_det_score,det_pass_count,det_pass_rate,failure_histogram
1,llama31_8b,3,4,20.75,0,0.0,"{""arg_type"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
1,llama31_8b,4,4,15.75,0,0.0,"{""arg_type"": 4, ""dataflow"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
1,llama31_8b,5,4,20.75,0,0.0,"{""arg_type"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
1,llama31_8b,6,4,6.5,0,0.0,"{""arg_type"": 4, ""dataflow"": 4, ""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
2,llama31_8b,3,4,20.75,0,0.0,"{""arg_type"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
2,llama31_8b,4,4,15.75,0,0.0,"{""arg_type"": 4, ""dataflow"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
2,llama31_8b,5,4,20.75,0,0.0,"{""arg_type"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
2,llama31_8b,6,4,6.5,0,0.0,"{""arg_type"": 4, ""dataflow"": 4, ""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
3,llama31_8b,3,4,20.75,0,0.0,"{""arg_type"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
3,llama31_8b,4,4,15.75,0,0.0,"{""arg_type"": 4, ""dataflow"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
3,llama31_8b,5,4,20.75,0,0.0,"{""arg_type"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
3,llama31_8b,6,4,6.5,0,0.0,"{""arg_type"": 4, ""dataflow"": 4, ""enum_grounding"": 4, ""extraneous"": 4, ""gt_mismatch"": 4, ""gt_receiver_coverage"": 4, ""gt_service_coverage"": 4, ""numeric_grounding"": 4, ""precondition"": 4, ""semantic"": 4, ""service_match"": 4}"
