generation,proposal_id,model_key,target_block_id,target_block_family,mutation_type,priority,accepted,rejection_reason,reason,proposed_micro_rule
1,advisor_g001_01,qwen25_coder_7b,06,DET_Helper,add_targeted_repair_hint,3,True,,"Repair receiver coverage, service coverage, dataflow, numeric, and enum grounding to fix gt_mismatch semantic errors.","If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
1,advisor_g001_02,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,1,True,,Ensure strict use of canonical service names to prevent unknown_service errors.,Use only canonical service/value names from service_list_snippet; never invent helper methods.
1,advisor_g001_03,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,1,True,,Strengthen enum and numeric argument grounding to avoid enum_type_mismatch errors.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
1,advisor_g001_04,qwen25_coder_7b,06,Temporal_Rule,add_micro_rule,1,True,,Improve temporal representation to fix temporal errors in delayed or duration-based commands.,"For delayed or duration-based commands, represent elapsed time with explicit state variables and comparisons."
1,advisor_g001_05,qwen25_coder_7b,06,Dataflow,add_micro_rule,1,True,,Ensure sensor values are bound to variables and used downstream to fix dataflow errors.,"When reading a value for reporting or control, bind it to a variable and use that variable in the downstream action."
1,advisor_g001_06,qwen25_coder_7b,03,Output_Schema,add_micro_rule,2,True,,Prevent extraneous actions by restricting output to only required actions.,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers."
2,advisor_g002_01,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,1,True,,Prevent enum grounding errors by enforcing exact enum value copying and unquoted numeric literals.,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals."
2,advisor_g002_02,qwen25_coder_7b,06,DET_Helper,add_micro_rule,3,True,,Improve semantic correctness by adding targeted repair hints for coverage and grounding issues.,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding."
3,advisor_g003_01,qwen25_coder_7b,02,Service_Mapping,add_micro_rule,1,True,,Ensure strict grounding of service names and argument types to prevent schema violations and unknown services.,"Use only canonical service names from service_list_snippet; for ENUM arguments, copy allowed enum values exactly; for numeric arguments, use unquoted numeric literals; read descriptor and argument bounds before selecting services or units."
3,advisor_g003_02,qwen25_coder_7b,03,Output_Schema,add_micro_rule,1,True,,Prevent invalid JSON output and extraneous actions by enforcing strict output format and minimality.,"Return exactly one JSON object only; never emit markdown, prose, comments, or code fences; emit only actions required by the command, removing unrelated or duplicate actions."
3,advisor_g003_03,qwen25_coder_7b,06,Temporal_Rule,add_micro_rule,1,True,,Improve temporal grounding and dataflow correctness for delayed or duration-based commands.,"Represent elapsed time with explicit state variables and comparisons; when reading values for reporting or control, bind to variables and use those variables in downstream actions."
